ID,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Season,Review Rating,Previous Purchases,Frequency of Purchases,Height,Breadth,Length,Vendor Name,Vendor Ratings,Warehouse Name,Profit Margins (%)
204,Male,Coat,Outerwear,56,Florida,M,Summer,4.0,42,Quarterly,20,17,30,Vendor B,4.4,Warehouse E,32.36
205,Male,Gloves,Accessories,62,Tennessee,M,Spring,4.7,48,Monthly,18,36,31,Vendor C,3.3,Warehouse E,48.59
206,Male,Shirt,Clothing,36,Michigan,M,Fall,3.5,13,Annually,10,41,39,Vendor A,2.2,Warehouse E,10.38
207,Male,Sneakers,Footwear,92,Illinois,M,Fall,4.7,44,Fortnightly,17,48,21,Vendor E,1.5,Warehouse A,30.6
208,Male,Pants,Clothing,88,South Dakota,M,Fall,2.9,29,Quarterly,11,24,38,Vendor H,3.9,Warehouse E,38.38
209,Male,Handbag,Accessories,36,Michigan,XL,Fall,3.3,6,Fortnightly,7,12,49,Vendor C,3.3,Warehouse E,10.23
210,Male,Skirt,Clothing,59,Vermont,XL,Winter,4.7,7,Quarterly,13,29,11,Vendor B,4.4,Warehouse C,49.52
211,Male,Belt,Accessories,66,Maryland,M,Fall,4.4,11,Quarterly,13,29,28,Vendor G,3.0,Warehouse E,30.93
212,Male,Jacket,Outerwear,24,New Hampshire,M,Fall,2.9,10,Weekly,12,47,11,Vendor B,4.4,Warehouse E,7.54
213,Male,Sandals,Footwear,72,Michigan,L,Summer,5.0,39,Quarterly,15,19,23,Vendor D,2.6,Warehouse E,13.43
214,Male,Pants,Clothing,85,Hawaii,M,Spring,2.7,43,Bi-Weekly,5,16,23,Vendor G,3.0,Warehouse B,36.24
215,Male,Dress,Clothing,52,North Carolina,L,Summer,4.7,27,Annually,17,47,32,Vendor C,3.3,Warehouse E,39.34
216,Female,Skirt,Clothing,86,Pennsylvania,L,Spring,4.4,47,Bi-Weekly,8,17,34,Vendor H,3.9,Warehouse E,38.98
217,Female,Sweater,Clothing,81,Arkansas,M,Fall,4.7,42,Annually,14,18,42,Vendor C,3.3,Warehouse E,42.21
218,Male,Sunglasses,Accessories,78,Massachusetts,L,Spring,3.8,1,Quarterly,7,37,38,Vendor A,2.2,Warehouse E,33.38
219,Male,Socks,Clothing,39,Alaska,M,Spring,3.8,48,Every 3 Months,16,17,48,Vendor E,1.5,Warehouse E,40.68
220,Male,Coat,Outerwear,39,Massachusetts,S,Fall,2.6,38,Fortnightly,10,37,37,Vendor G,3.0,Warehouse E,12.21
221,Male,Belt,Accessories,64,Washington,S,Spring,4.8,18,Annually,11,48,49,Vendor A,2.2,Warehouse E,15.37
222,Male,Hat,Accessories,67,Massachusetts,S,Fall,2.5,38,Monthly,6,43,18,Vendor F,4.8,Warehouse E,40.15
223,Female,Backpack,Accessories,62,Massachusetts,M,Fall,4.7,26,Quarterly,7,28,17,Vendor E,1.5,Warehouse E,5.87
224,Male,T-shirt,Clothing,53,Maryland,M,Winter,4.0,11,Every 3 Months,20,44,20,Vendor B,4.4,Warehouse E,9.88
225,Female,Handbag,Accessories,51,Tennessee,L,Summer,5.0,40,Weekly,11,39,50,Vendor A,2.2,Warehouse E,14.89
226,Male,Belt,Accessories,50,Rhode Island,S,Winter,2.6,36,Every 3 Months,13,35,19,Vendor H,3.9,Warehouse E,42.76
227,Male,Sneakers,Footwear,42,Colorado,M,Winter,4.2,47,Monthly,9,27,30,Vendor E,1.5,Warehouse E,37.64
228,Male,Socks,Clothing,68,Idaho,S,Winter,4.1,28,Bi-Weekly,5,44,41,Vendor G,3.0,Warehouse E,43.44
229,Female,Scarf,Accessories,96,Tennessee,XL,Fall,3.2,47,Annually,15,17,11,Vendor D,2.6,Warehouse E,46.43
230,Male,Hat,Accessories,68,Vermont,S,Fall,3.0,1,Fortnightly,6,24,34,Vendor A,2.2,Warehouse C,25.99
231,Male,Jeans,Clothing,62,Missouri,L,Spring,2.6,36,Annually,8,47,26,Vendor F,4.8,Warehouse E,46.19
232,Male,Dress,Clothing,26,Delaware,XL,Fall,3.3,40,Monthly,15,10,17,Vendor D,2.6,Warehouse E,23.74
233,Female,Handbag,Accessories,73,Utah,M,Summer,3.5,26,Every 3 Months,14,39,43,Vendor D,2.6,Warehouse E,20.0
234,Male,T-shirt,Clothing,20,Alaska,M,Summer,2.6,26,Weekly,17,38,42,Vendor D,2.6,Warehouse E,19.86
235,Male,Handbag,Accessories,55,New Hampshire,L,Fall,3.6,46,Every 3 Months,9,50,50,Vendor F,4.8,Warehouse E,40.88
236,Male,Sneakers,Footwear,57,Arizona,S,Spring,3.7,48,Fortnightly,10,27,29,Vendor F,4.8,Warehouse E,25.85
237,Female,Sweater,Clothing,97,Michigan,M,Summer,4.2,26,Quarterly,10,34,28,Vendor E,1.5,Warehouse E,11.56
238,Male,Jewelry,Accessories,20,Nevada,M,Spring,3.6,13,Annually,14,49,33,Vendor G,3.0,Warehouse E,25.48
239,Male,Pants,Clothing,66,Massachusetts,M,Summer,3.2,20,Fortnightly,15,49,15,Vendor D,2.6,Warehouse E,21.84
240,Male,Sunglasses,Accessories,27,Mississippi,L,Winter,3.5,48,Fortnightly,10,28,27,Vendor B,4.4,Warehouse E,25.83
241,Female,Scarf,Accessories,45,Texas,M,Fall,5.0,5,Annually,7,15,29,Vendor H,3.9,Warehouse D,6.54
242,Male,Shirt,Clothing,64,Hawaii,M,Winter,3.0,25,Weekly,8,39,37,Vendor H,3.9,Warehouse B,5.07
243,Male,Jacket,Outerwear,50,Hawaii,L,Summer,4.2,41,Every 3 Months,18,41,27,Vendor G,3.0,Warehouse B,6.41
244,Male,T-shirt,Clothing,23,South Carolina,L,Winter,4.3,47,Every 3 Months,16,40,47,Vendor C,3.3,Warehouse E,13.88
245,Female,Gloves,Accessories,79,Illinois,M,Fall,3.4,19,Weekly,7,29,14,Vendor B,4.4,Warehouse A,7.26
246,Female,Handbag,Accessories,88,Montana,L,Fall,3.8,46,Weekly,14,19,43,Vendor E,1.5,Warehouse E,26.98
247,Male,Pants,Clothing,38,Colorado,L,Summer,3.3,45,Quarterly,19,45,23,Vendor H,3.9,Warehouse E,16.43
248,Female,Scarf,Accessories,38,Washington,M,Winter,3.5,41,Quarterly,13,39,41,Vendor B,4.4,Warehouse E,17.41
249,Male,Coat,Outerwear,24,Florida,M,Spring,3.3,22,Weekly,5,23,22,Vendor E,1.5,Warehouse E,22.74
250,Male,Jeans,Clothing,92,Montana,M,Summer,3.8,24,Quarterly,11,22,37,Vendor G,3.0,Warehouse E,29.91
251,Male,Scarf,Accessories,72,Missouri,XL,Winter,4.9,36,Quarterly,14,21,23,Vendor C,3.3,Warehouse E,42.12
252,Male,Shorts,Clothing,38,Connecticut,L,Winter,2.8,30,Every 3 Months,20,19,26,Vendor H,3.9,Warehouse E,20.45
253,Female,Shirt,Clothing,27,Georgia,L,Spring,3.0,19,Monthly,11,13,41,Vendor E,1.5,Warehouse E,18.53
254,Female,Jeans,Clothing,73,Michigan,L,Spring,4.5,34,Every 3 Months,13,14,23,Vendor E,1.5,Warehouse E,27.1
255,Male,Sandals,Footwear,64,Washington,S,Summer,3.3,30,Every 3 Months,13,37,21,Vendor C,3.3,Warehouse E,41.63
256,Male,Hoodie,Clothing,73,Louisiana,L,Summer,3.1,2,Quarterly,15,14,42,Vendor B,4.4,Warehouse E,23.38
257,Female,Coat,Outerwear,81,Washington,L,Winter,4.1,43,Weekly,17,32,23,Vendor G,3.0,Warehouse E,44.52
258,Male,Belt,Accessories,53,Massachusetts,S,Winter,2.5,20,Weekly,20,35,37,Vendor B,4.4,Warehouse E,5.53
259,Male,Coat,Outerwear,31,Connecticut,M,Winter,2.6,40,Monthly,11,32,45,Vendor A,2.2,Warehouse E,23.73
260,Female,Sandals,Footwear,28,Connecticut,M,Spring,3.7,22,Annually,6,36,31,Vendor A,2.2,Warehouse E,44.7
261,Female,Sneakers,Footwear,55,Colorado,L,Summer,4.9,33,Fortnightly,13,16,31,Vendor G,3.0,Warehouse E,17.14
262,Male,Dress,Clothing,95,Maryland,M,Spring,4.9,25,Monthly,19,49,14,Vendor E,1.5,Warehouse E,43.84
263,Female,Hat,Accessories,27,Minnesota,M,Fall,3.5,40,Annually,15,45,48,Vendor C,3.3,Warehouse E,48.72
264,Male,Jacket,Outerwear,27,Massachusetts,M,Spring,3.3,24,Annually,5,33,17,Vendor F,4.8,Warehouse E,33.98
265,Male,Socks,Clothing,26,Virginia,M,Summer,3.7,14,Bi-Weekly,17,28,50,Vendor C,3.3,Warehouse E,25.08
266,Male,Pants,Clothing,44,Kansas,M,Fall,4.3,8,Weekly,11,22,34,Vendor H,3.9,Warehouse E,26.62
267,Male,Backpack,Accessories,88,Wyoming,L,Winter,2.6,30,Weekly,20,13,13,Vendor E,1.5,Warehouse E,16.47
268,Male,Gloves,Accessories,57,Maine,M,Fall,4.8,37,Annually,17,34,14,Vendor G,3.0,Warehouse E,30.11
269,Male,Shoes,Footwear,36,Louisiana,M,Fall,2.9,32,Every 3 Months,8,29,23,Vendor B,4.4,Warehouse E,41.21
270,Male,Belt,Accessories,84,Arizona,S,Fall,2.8,50,Weekly,6,32,26,Vendor H,3.9,Warehouse E,44.12
271,Male,Blouse,Clothing,50,New Hampshire,S,Winter,3.0,24,Fortnightly,16,43,15,Vendor G,3.0,Warehouse E,31.9
272,Female,Sweater,Clothing,56,Alabama,L,Spring,2.6,9,Weekly,10,26,38,Vendor H,3.9,Warehouse E,21.58
273,Male,Sneakers,Footwear,39,Montana,L,Winter,3.8,7,Annually,8,47,31,Vendor C,3.3,Warehouse E,33.24
274,Male,Pants,Clothing,74,Idaho,M,Fall,3.5,23,Weekly,19,39,14,Vendor H,3.9,Warehouse E,27.39
275,Female,Jeans,Clothing,94,New Hampshire,L,Winter,3.8,6,Monthly,18,31,35,Vendor B,4.4,Warehouse E,41.62
276,Male,Sunglasses,Accessories,80,Maryland,M,Summer,4.8,11,Bi-Weekly,8,40,17,Vendor H,3.9,Warehouse E,19.8
277,Female,Sneakers,Footwear,99,Tennessee,XL,Summer,4.1,34,Weekly,12,16,39,Vendor A,2.2,Warehouse E,13.98
278,Male,Hat,Accessories,94,Hawaii,M,Fall,2.9,18,Quarterly,8,22,30,Vendor A,2.2,Warehouse B,28.82
279,Female,Boots,Footwear,44,Connecticut,M,Summer,4.8,46,Every 3 Months,11,12,20,Vendor G,3.0,Warehouse E,9.27
280,Male,Jewelry,Accessories,30,South Dakota,XL,Spring,4.7,20,Every 3 Months,18,10,40,Vendor F,4.8,Warehouse E,34.13
281,Female,Jacket,Outerwear,30,South Carolina,M,Summer,2.8,35,Annually,12,25,33,Vendor F,4.8,Warehouse E,23.84
282,Male,Coat,Outerwear,46,Colorado,M,Fall,4.3,29,Weekly,15,39,50,Vendor G,3.0,Warehouse E,33.22
283,Male,Shirt,Clothing,68,Idaho,S,Winter,4.7,23,Fortnightly,20,29,36,Vendor E,1.5,Warehouse E,16.51
284,Male,Pants,Clothing,83,Michigan,S,Summer,4.5,50,Quarterly,13,50,25,Vendor C,3.3,Warehouse E,14.96
285,Female,Shirt,Clothing,53,Vermont,M,Fall,3.4,42,Every 3 Months,15,21,40,Vendor H,3.9,Warehouse C,34.92
286,Male,Handbag,Accessories,85,Michigan,S,Spring,3.7,25,Weekly,14,38,24,Vendor B,4.4,Warehouse E,37.16
287,Male,Sneakers,Footwear,35,Nevada,L,Summer,2.6,45,Bi-Weekly,6,46,18,Vendor E,1.5,Warehouse E,44.8
288,Male,Handbag,Accessories,82,New Hampshire,XL,Summer,4.4,30,Monthly,6,30,20,Vendor E,1.5,Warehouse E,13.97
289,Male,Shirt,Clothing,32,New York,M,Summer,2.6,2,Monthly,8,49,43,Vendor E,1.5,Warehouse E,38.52
290,Male,Belt,Accessories,91,Vermont,S,Winter,3.4,44,Quarterly,9,24,20,Vendor D,2.6,Warehouse C,16.06
291,Female,Shorts,Clothing,32,Utah,L,Fall,3.4,29,Annually,9,35,35,Vendor E,1.5,Warehouse E,10.22
292,Male,Sweater,Clothing,32,Illinois,M,Summer,3.1,46,Fortnightly,6,16,33,Vendor E,1.5,Warehouse A,11.87
293,Female,Shoes,Footwear,72,Georgia,L,Summer,4.5,37,Monthly,17,27,11,Vendor C,3.3,Warehouse E,38.62
294,Male,Hat,Accessories,94,Texas,L,Fall,4.9,25,Monthly,5,50,36,Vendor B,4.4,Warehouse D,17.23
295,Female,Shirt,Clothing,30,Oregon,M,Fall,4.5,39,Bi-Weekly,16,12,17,Vendor A,2.2,Warehouse E,36.14
296,Male,Pants,Clothing,60,Connecticut,M,Winter,2.9,38,Bi-Weekly,14,39,49,Vendor F,4.8,Warehouse E,48.82
297,Male,Handbag,Accessories,77,Louisiana,L,Fall,4.1,12,Monthly,17,40,37,Vendor E,1.5,Warehouse E,15.0
298,Male,Shorts,Clothing,46,Iowa,M,Summer,4.3,29,Monthly,15,50,38,Vendor G,3.0,Warehouse E,25.15
299,Male,Jacket,Outerwear,80,Arizona,M,Winter,4.3,6,Quarterly,20,42,27,Vendor F,4.8,Warehouse E,27.17
300,Male,Scarf,Accessories,74,Wyoming,M,Spring,3.4,33,Every 3 Months,10,11,47,Vendor A,2.2,Warehouse E,13.07
301,Female,Belt,Accessories,92,Michigan,L,Winter,3.3,11,Bi-Weekly,13,11,33,Vendor A,2.2,Warehouse E,41.3
302,Male,Blouse,Clothing,20,Minnesota,M,Summer,3.7,40,Weekly,14,34,10,Vendor A,2.2,Warehouse E,45.0
303,Male,Pants,Clothing,90,Arkansas,XL,Summer,4.5,49,Quarterly,13,44,24,Vendor E,1.5,Warehouse E,39.16
304,Female,Handbag,Accessories,46,New Hampshire,M,Summer,3.6,13,Bi-Weekly,9,42,35,Vendor H,3.9,Warehouse E,29.28
305,Male,Coat,Outerwear,90,North Carolina,S,Summer,3.9,21,Monthly,19,36,49,Vendor E,1.5,Warehouse E,8.57
306,Male,Backpack,Accessories,78,California,L,Fall,3.0,26,Monthly,13,48,30,Vendor A,2.2,Warehouse E,30.17
307,Male,Backpack,Accessories,34,South Dakota,L,Fall,3.5,34,Quarterly,12,36,17,Vendor D,2.6,Warehouse E,13.68
308,Male,Gloves,Accessories,76,Wyoming,S,Winter,2.8,50,Weekly,9,18,10,Vendor C,3.3,Warehouse E,11.38
309,Female,Handbag,Accessories,59,Texas,M,Fall,4.9,43,Annually,10,36,30,Vendor D,2.6,Warehouse D,21.5
310,Female,Handbag,Accessories,63,Maryland,L,Fall,4.3,2,Weekly,20,43,32,Vendor C,3.3,Warehouse E,26.85
311,Male,Boots,Footwear,93,Ohio,M,Winter,3.9,20,Weekly,15,10,35,Vendor A,2.2,Warehouse E,23.38
312,Male,Boots,Footwear,29,South Dakota,L,Winter,3.3,14,Quarterly,20,15,41,Vendor H,3.9,Warehouse E,37.08
313,Male,Blouse,Clothing,45,Nebraska,L,Summer,3.0,6,Annually,13,14,43,Vendor H,3.9,Warehouse E,12.11
314,Male,Shirt,Clothing,25,Wyoming,M,Fall,2.6,46,Bi-Weekly,15,26,20,Vendor E,1.5,Warehouse E,19.03
315,Male,Hat,Accessories,31,California,XL,Fall,3.1,19,Annually,17,40,48,Vendor H,3.9,Warehouse E,16.1
316,Male,Shoes,Footwear,66,New Mexico,L,Winter,3.6,32,Fortnightly,15,38,26,Vendor A,2.2,Warehouse E,48.19
317,Female,Sandals,Footwear,28,Delaware,M,Fall,2.7,25,Monthly,12,37,18,Vendor C,3.3,Warehouse E,48.51
318,Male,Dress,Clothing,86,Pennsylvania,S,Winter,3.7,7,Annually,5,29,45,Vendor E,1.5,Warehouse E,14.88
319,Male,T-shirt,Clothing,56,New Mexico,S,Summer,3.9,4,Every 3 Months,15,23,36,Vendor A,2.2,Warehouse E,42.38
320,Male,Hoodie,Clothing,53,Arkansas,M,Spring,3.1,5,Bi-Weekly,12,23,25,Vendor D,2.6,Warehouse E,46.37
321,Male,Coat,Outerwear,72,Delaware,M,Winter,4.5,37,Fortnightly,9,42,19,Vendor G,3.0,Warehouse E,43.02
322,Female,Sandals,Footwear,78,Virginia,S,Summer,2.5,8,Quarterly,15,16,31,Vendor D,2.6,Warehouse E,39.15
323,Female,Hoodie,Clothing,86,Louisiana,M,Fall,3.3,17,Annually,20,11,26,Vendor B,4.4,Warehouse E,22.43
324,Male,Skirt,Clothing,90,New York,M,Winter,3.9,24,Bi-Weekly,9,25,37,Vendor D,2.6,Warehouse E,13.98
325,Female,Boots,Footwear,44,Nebraska,S,Fall,3.3,22,Quarterly,10,27,36,Vendor B,4.4,Warehouse E,6.32
326,Female,Coat,Outerwear,91,New York,L,Winter,3.2,9,Monthly,8,11,12,Vendor F,4.8,Warehouse E,26.08
327,Female,Sunglasses,Accessories,43,Minnesota,M,Fall,3.3,21,Annually,6,50,24,Vendor B,4.4,Warehouse E,34.39
328,Male,Hoodie,Clothing,98,West Virginia,M,Fall,3.3,20,Annually,9,46,20,Vendor F,4.8,Warehouse E,5.64
329,Male,Gloves,Accessories,99,Rhode Island,M,Spring,4.9,48,Every 3 Months,9,27,47,Vendor G,3.0,Warehouse E,14.05
330,Male,Skirt,Clothing,34,Ohio,M,Fall,4.2,5,Annually,16,10,16,Vendor D,2.6,Warehouse E,31.08
331,Male,Shoes,Footwear,35,Vermont,L,Winter,3.5,37,Annually,13,10,12,Vendor C,3.3,Warehouse C,48.5
332,Female,Coat,Outerwear,27,South Dakota,L,Winter,2.9,14,Every 3 Months,6,42,28,Vendor C,3.3,Warehouse E,7.01
333,Male,Dress,Clothing,54,New Hampshire,XL,Summer,4.6,44,Annually,9,13,19,Vendor C,3.3,Warehouse E,25.82
334,Female,Dress,Clothing,45,Washington,M,Summer,4.7,42,Bi-Weekly,19,38,45,Vendor A,2.2,Warehouse E,43.46
335,Male,Coat,Outerwear,22,Connecticut,XL,Winter,4.4,7,Weekly,14,19,24,Vendor D,2.6,Warehouse E,31.25
336,Female,Jacket,Outerwear,45,New York,M,Fall,2.7,39,Every 3 Months,11,21,12,Vendor A,2.2,Warehouse E,22.87
337,Female,Hoodie,Clothing,80,Delaware,L,Winter,2.7,18,Monthly,17,46,39,Vendor C,3.3,Warehouse E,7.11
338,Male,Dress,Clothing,82,New York,XL,Spring,4.4,19,Annually,16,45,47,Vendor H,3.9,Warehouse E,7.05
339,Female,Jewelry,Accessories,30,Indiana,L,Winter,3.3,42,Weekly,13,27,12,Vendor H,3.9,Warehouse E,39.36
340,Male,Pants,Clothing,97,Minnesota,M,Fall,3.9,50,Monthly,13,42,32,Vendor A,2.2,Warehouse E,14.55
341,Female,T-shirt,Clothing,72,Mississippi,M,Fall,4.6,18,Fortnightly,17,44,18,Vendor G,3.0,Warehouse E,23.4
342,Male,Sunglasses,Accessories,95,Oregon,S,Summer,5.0,42,Quarterly,16,47,16,Vendor H,3.9,Warehouse E,23.64
343,Male,Jeans,Clothing,90,Rhode Island,M,Winter,4.2,25,Fortnightly,12,46,49,Vendor E,1.5,Warehouse E,47.89
344,Male,Hat,Accessories,32,California,XL,Winter,4.2,17,Weekly,11,19,23,Vendor E,1.5,Warehouse E,13.49
345,Male,Gloves,Accessories,40,California,L,Spring,3.8,29,Weekly,6,47,11,Vendor H,3.9,Warehouse E,37.81
346,Female,Sunglasses,Accessories,31,Idaho,M,Fall,4.2,43,Weekly,17,41,45,Vendor B,4.4,Warehouse E,45.32
347,Male,Shirt,Clothing,87,South Carolina,L,Fall,3.5,48,Every 3 Months,14,16,43,Vendor A,2.2,Warehouse E,5.45
348,Male,Coat,Outerwear,58,Mississippi,XL,Winter,2.7,30,Weekly,13,49,29,Vendor G,3.0,Warehouse E,33.82
349,Female,Hat,Accessories,21,Texas,S,Summer,3.1,29,Every 3 Months,12,31,49,Vendor E,1.5,Warehouse D,24.67
350,Female,Skirt,Clothing,36,Louisiana,L,Winter,2.5,42,Monthly,16,46,34,Vendor F,4.8,Warehouse E,6.91
351,Female,Blouse,Clothing,96,Wisconsin,M,Fall,3.1,11,Bi-Weekly,13,25,15,Vendor H,3.9,Warehouse E,31.97
352,Male,T-shirt,Clothing,34,Vermont,S,Spring,3.8,31,Monthly,6,39,31,Vendor H,3.9,Warehouse C,15.47
353,Male,Gloves,Accessories,62,Pennsylvania,L,Fall,3.6,3,Annually,5,30,29,Vendor E,1.5,Warehouse E,23.92
354,Male,Belt,Accessories,70,Tennessee,S,Summer,4.4,5,Weekly,16,39,27,Vendor F,4.8,Warehouse E,46.95
355,Male,Dress,Clothing,44,Illinois,S,Winter,3.4,25,Quarterly,7,35,47,Vendor H,3.9,Warehouse A,47.59
356,Male,Socks,Clothing,21,Tennessee,XL,Fall,2.9,25,Annually,8,23,42,Vendor C,3.3,Warehouse E,31.57
357,Female,Dress,Clothing,46,Alabama,S,Spring,2.6,20,Quarterly,10,15,22,Vendor B,4.4,Warehouse E,33.2
358,Male,Skirt,Clothing,29,Ohio,XL,Spring,3.6,26,Weekly,19,40,11,Vendor C,3.3,Warehouse E,10.02
359,Male,Jewelry,Accessories,81,Georgia,S,Summer,2.7,29,Weekly,8,38,47,Vendor F,4.8,Warehouse E,35.66
360,Male,Skirt,Clothing,52,Delaware,M,Fall,3.4,20,Quarterly,17,43,32,Vendor E,1.5,Warehouse E,19.71
361,Male,Skirt,Clothing,81,Montana,L,Fall,3.6,25,Every 3 Months,13,43,29,Vendor G,3.0,Warehouse E,24.79
362,Male,T-shirt,Clothing,37,New York,S,Fall,4.9,14,Annually,6,12,28,Vendor C,3.3,Warehouse E,38.02
363,Male,Coat,Outerwear,95,Florida,M,Fall,3.8,30,Annually,19,22,43,Vendor B,4.4,Warehouse E,25.06
364,Male,Hat,Accessories,96,Oregon,M,Spring,4.9,50,Quarterly,9,31,23,Vendor D,2.6,Warehouse E,39.17
365,Male,Skirt,Clothing,68,Wisconsin,M,Summer,4.4,26,Monthly,19,33,31,Vendor E,1.5,Warehouse E,23.02
366,Male,Dress,Clothing,22,Minnesota,M,Spring,4.5,21,Fortnightly,18,19,14,Vendor B,4.4,Warehouse E,11.94
367,Male,Jewelry,Accessories,75,Louisiana,L,Summer,3.1,32,Weekly,14,12,10,Vendor F,4.8,Warehouse E,43.35
368,Male,Jeans,Clothing,23,Kentucky,L,Spring,3.8,39,Bi-Weekly,20,27,22,Vendor F,4.8,Warehouse E,44.8
369,Male,Belt,Accessories,68,Tennessee,M,Fall,4.5,7,Fortnightly,10,20,18,Vendor F,4.8,Warehouse E,6.43
370,Female,Shorts,Clothing,51,New York,XL,Summer,3.1,10,Fortnightly,20,41,20,Vendor H,3.9,Warehouse E,8.52
371,Female,Handbag,Accessories,24,Wisconsin,M,Fall,4.6,11,Fortnightly,13,13,49,Vendor B,4.4,Warehouse E,27.13
372,Male,Socks,Clothing,48,Washington,M,Spring,4.4,9,Quarterly,5,48,30,Vendor E,1.5,Warehouse E,24.91
373,Female,Shorts,Clothing,78,Vermont,M,Spring,3.6,31,Monthly,8,25,10,Vendor F,4.8,Warehouse C,12.48
374,Male,Shorts,Clothing,98,Utah,M,Fall,2.8,31,Fortnightly,7,10,47,Vendor E,1.5,Warehouse E,19.27
375,Male,Shoes,Footwear,43,New Jersey,M,Fall,3.2,25,Monthly,8,21,23,Vendor C,3.3,Warehouse E,45.52
376,Female,Socks,Clothing,25,Pennsylvania,M,Winter,4.6,14,Every 3 Months,6,35,48,Vendor D,2.6,Warehouse E,13.64
377,Male,Jewelry,Accessories,62,New Mexico,L,Fall,3.4,19,Weekly,17,14,38,Vendor A,2.2,Warehouse E,5.28
378,Male,Backpack,Accessories,22,California,M,Spring,4.0,12,Annually,11,14,42,Vendor D,2.6,Warehouse E,25.59
379,Female,Boots,Footwear,28,West Virginia,M,Spring,2.9,13,Annually,6,47,42,Vendor B,4.4,Warehouse E,21.18
380,Female,Belt,Accessories,98,Illinois,S,Fall,2.6,17,Monthly,5,34,42,Vendor B,4.4,Warehouse A,30.05
381,Male,Boots,Footwear,75,South Dakota,M,Winter,4.9,41,Weekly,16,30,26,Vendor C,3.3,Warehouse E,32.34
382,Male,Socks,Clothing,44,Georgia,M,Fall,4.2,28,Quarterly,11,43,16,Vendor E,1.5,Warehouse E,23.02
383,Male,Jewelry,Accessories,31,Illinois,S,Summer,4.0,6,Fortnightly,15,27,28,Vendor B,4.4,Warehouse A,8.32
384,Female,T-shirt,Clothing,28,South Dakota,M,Winter,3.9,15,Annually,5,19,37,Vendor H,3.9,Warehouse E,32.33
385,Male,Backpack,Accessories,78,Arkansas,L,Summer,4.6,26,Every 3 Months,16,20,50,Vendor F,4.8,Warehouse E,38.63
386,Male,Socks,Clothing,29,Oklahoma,L,Summer,3.4,5,Monthly,11,47,19,Vendor H,3.9,Warehouse E,48.2
387,Female,Shoes,Footwear,85,Indiana,L,Spring,4.7,48,Fortnightly,8,40,34,Vendor B,4.4,Warehouse E,35.57
388,Male,Handbag,Accessories,51,Wyoming,XL,Winter,2.5,34,Annually,16,17,44,Vendor B,4.4,Warehouse E,14.87
389,Female,Blouse,Clothing,97,Washington,S,Spring,4.7,1,Weekly,14,50,23,Vendor C,3.3,Warehouse E,9.09
390,Male,Sneakers,Footwear,46,Vermont,L,Summer,3.5,37,Fortnightly,12,12,44,Vendor D,2.6,Warehouse C,13.23
391,Male,Scarf,Accessories,67,Montana,L,Summer,2.9,41,Every 3 Months,10,33,23,Vendor E,1.5,Warehouse E,10.15
392,Male,Sweater,Clothing,72,New Jersey,S,Fall,3.9,6,Monthly,9,24,17,Vendor C,3.3,Warehouse E,15.1
393,Male,Sunglasses,Accessories,60,Wyoming,S,Spring,4.5,16,Fortnightly,18,26,24,Vendor F,4.8,Warehouse E,48.82
394,Female,Jewelry,Accessories,67,Arizona,XL,Fall,3.4,47,Weekly,6,34,45,Vendor B,4.4,Warehouse E,49.2
395,Male,Sneakers,Footwear,69,Arkansas,L,Summer,4.0,37,Monthly,11,39,39,Vendor D,2.6,Warehouse E,29.51
396,Male,Belt,Accessories,43,Delaware,M,Winter,4.9,49,Annually,5,50,11,Vendor C,3.3,Warehouse E,20.85
397,Female,T-shirt,Clothing,99,Utah,M,Spring,4.0,20,Annually,19,46,41,Vendor D,2.6,Warehouse E,15.97
398,Male,Boots,Footwear,26,Massachusetts,L,Spring,4.2,27,Every 3 Months,20,10,18,Vendor E,1.5,Warehouse E,17.15
399,Male,Hat,Accessories,25,Minnesota,XL,Summer,3.6,36,Every 3 Months,14,13,32,Vendor C,3.3,Warehouse E,39.16
400,Female,Blouse,Clothing,98,Illinois,M,Summer,3.2,8,Bi-Weekly,8,32,49,Vendor H,3.9,Warehouse A,19.09
401,Male,Sneakers,Footwear,80,Pennsylvania,M,Summer,3.2,28,Fortnightly,18,20,37,Vendor B,4.4,Warehouse E,40.2
402,Male,Jacket,Outerwear,53,Oklahoma,L,Fall,2.5,14,Annually,17,39,37,Vendor A,2.2,Warehouse E,42.56
403,Female,Jacket,Outerwear,20,Oklahoma,M,Spring,3.7,3,Fortnightly,17,39,12,Vendor F,4.8,Warehouse E,36.32
404,Male,Sweater,Clothing,35,New Mexico,M,Summer,4.0,1,Fortnightly,5,22,20,Vendor E,1.5,Warehouse E,26.22
405,Female,Blouse,Clothing,90,Maine,M,Summer,4.9,8,Every 3 Months,5,35,21,Vendor A,2.2,Warehouse E,23.45
406,Male,Shirt,Clothing,59,Indiana,XL,Spring,2.9,33,Monthly,7,16,12,Vendor C,3.3,Warehouse E,38.85
407,Male,Sneakers,Footwear,60,New Mexico,M,Fall,2.8,50,Weekly,17,25,35,Vendor G,3.0,Warehouse E,5.38
408,Male,Boots,Footwear,66,Illinois,S,Spring,4.1,42,Bi-Weekly,5,14,37,Vendor C,3.3,Warehouse A,21.43
